Time,Input1,output1,Input2,output2,Input3,output3,Input4,output4,,
53.8,-1.51465388,-0.151486997,-1.462573517,0.417652667,1.922801046,-0.028186394,1.849654443,-0.014361812,,
53.9,-1.111723308,-0.233468646,-1.757741173,0.397105113,4.8106773,-0.057308483,1.517004268,-0.010460763,,
54,-1.272005253,-0.316882804,-0.948980357,0.359794427,4.057928881,-0.043059996,-0.473439938,0.004872391,,
54.1,-1.852681098,-0.402136533,0.648078117,0.314935352,0.234220786,0.00377608,-1.946505307,0.014881436,,
54.2,-2.299157926,-0.492897603,2.164895796,0.277508564,-3.76674093,0.047755203,-1.292414578,0.008628361,,
54.3,-2.143935218,-0.591253495,2.719955736,0.26014692,-4.917108206,0.055594804,0.774036828,-0.007053342,,
54.4,-1.380200405,-0.694011932,1.984089197,0.265772196,-2.346306022,0.021362044,1.994614784,-0.015026715,,
54.5,-0.404421687,-0.793110937,0.397384582,0.28575962,2.000133783,-0.029036413,1.035462231,-0.006578307,,
54.6,0.367011275,-0.879338518,-1.109087375,0.304910954,4.832912216,-0.057459976,-1.05525148,0.009059361,,
54.7,0.821282608,-0.945963597,-1.705492936,0.310154523,4.008239036,-0.042398342,-1.992778188,0.014797336,,
54.8,1.125951528,-0.989652208,-1.180456898,0.297508602,0.150210464,0.00475014,-0.752581434,0.004365112,,
54.9,1.435319569,-1.009034344,-0.047129825,0.273043528,-3.821494393,0.048304551,1.310042149,-0.010836877,,
55,1.668278959,-1.00343324,0.821806617,0.247522395,-4.90116848,0.055303581,1.941041509,-0.014195773,,
55.1,1.609086245,-0.973416138,0.778631346,0.228477072,-2.271735974,0.020450639,0.450855651,-0.002040921,,
55.2,1.228295479,-0.922225719,-0.184124517,0.214977418,2.076901026,-0.029878335,-1.53202876,0.012344517,,
55.3,0.859242809,-0.855473405,-1.451435318,0.198396027,4.853780736,-0.057595264,-1.840700258,0.013240569,,
55.4,0.972875975,-0.778012436,-2.205242697,0.168440088,3.957415953,-0.041724719,-0.137840236,-0.000332385,,
55.5,1.692268683,-0.690281295,-1.952657613,0.120340709,0.066157673,0.00572284,1.715652665,-0.013541403,,
55.6,2.50178419,-0.588041828,-0.815536313,0.058565092,-3.875167414,0.048840167,1.694267025,-0.01195149,,
55.7,2.507831343,-0.467393792,0.587262811,-0.005121176,-4.88384306,0.054996697,-0.178626763,0.002699844,,
55.8,1.140787736,-0.332168431,1.55529186,-0.057709654,-2.196523645,0.019533312,-1.856315839,0.014401948,,
55.9,-1.248988532,-0.197576429,1.725494655,-0.091176461,2.153081074,-0.030712017,-1.505408566,0.010366397,,
56,-3.443945988,-0.085662512,1.227428883,-0.105257016,4.873276961,-0.057714749,0.490620865,-0.004996384,,
56.1,-4.116304801,-0.014029989,0.510014675,-0.105722726,3.905474,-0.041039738,1.950496009,-0.014897724,,
56.2,-2.761383021,0.015020832,-3.64E-05,-0.100009098,-0.017913822,0.006692744,1.278853984,-0.008517525,,
56.3,-0.096207015,0.017145266,-0.15708087,-0.093355353,-3.927744821,0.049361454,-0.790329595,0.007172093,,
56.4,2.397668238,0.017922434,-0.113716158,-0.087627529,-4.865136845,0.054673751,-1.995834862,0.015025234,,
56.5,3.45282008,0.039112728,-0.127915622,-0.082782856,-2.120690299,0.018610016,-1.02027631,0.006459814,,
56.6,2.793580181,0.088042896,-0.334843808,-0.079142832,2.228652386,-0.031537303,1.070248108,-0.009163826,,
56.7,1.175847987,0.156432053,-0.656518697,-0.078483245,4.891395377,-0.057817858,1.991197092,-0.014772206,,
56.8,-0.259907948,0.228173514,-0.894638802,-0.083272278,3.852427864,-0.04034311,0.736150447,-0.004236539,,
56.9,-0.772906993,0.289832774,-0.907329234,-0.094972983,-0.101980252,0.007662498,-1.323367116,0.010929653,,
57,-0.371286261,0.336965116,-0.719894976,-0.112960075,-3.979211747,0.049869227,-1.93669883,0.014152512,,
57.1,0.425602927,0.37355204,-0.490813588,-0.134923875,-4.845055123,0.054335905,-0.433591039,0.001909941,,
57.2,1.092562483,0.407004276,-0.378419242,-0.158352966,-2.044257376,0.017682121,1.543348403,-0.012419275,,
57.3,1.420294272,0.44329349,-0.427435569,-0.181898346,2.303593598,-0.032353072,1.833704738,-0.013176188,,
57.4,1.465564936,0.484985307,-0.563722963,-0.205683589,4.908130863,-0.057904168,0.120174311,0.000466316,,
